name,rating,lat,lng,address,url,serves_beer,serves_dinner,serves_lunch,serves_wine,takeout,dine_in,reviews
Pico de Gallo Food Truck,4.5,39.8099204,-86.2212091,3014 Lafayette Rd #3000,https://maps.google.com/?cid=5393033484050692821,False,True,True,False,True,True,5
Food truck Mil Amores,4.0,39.7386158,-86.0821965,5034 E Raymond St,https://maps.google.com/?cid=12871198745142313123,,True,True,,True,True,3
Antojitos Guzman food truck #1,3.5,39.8527225,-86.24143649999999,4853 W 56th St,https://maps.google.com/?cid=5118888984588281287,,True,True,,True,True,5
Taco food truck,0.0,39.8557077,-86.1137069,5621 N Parker Ave,https://maps.google.com/?cid=8721236106944255517,,True,True,,True,True,0
King gyros food truck,4.7,39.6981336,-86.18572879999999,4585 S Harding St,https://maps.google.com/?cid=17942349421368134051,False,True,True,False,True,True,5
El Buenavista Food Truck,5.0,39.7608462,-86.0812326,5210 English Ave,https://maps.google.com/?cid=818633526893255472,,True,True,,True,True,5
El Viejon Food Truck,1.0,39.8099076,-86.2216177,3612 W 30th St,https://maps.google.com/?cid=320239974180671209,,True,True,,True,True,1
Food Truck Don Luis,3.0,39.8183177,-86.22698319999999,3605 Commercial Dr,https://maps.google.com/?cid=16945885257104482014,,,,,True,True,2
KG Slider Station,5.0,39.8229185,-86.2344232,3748 Lafayette Rd,https://maps.google.com/?cid=607440229820605793,False,True,True,False,True,True,1
El Amigo Taqueria Food Truck,4.3,39.7882877,-86.2153062,3356 W 16th St,https://maps.google.com/?cid=12907492761856827049,,True,True,,True,True,5
ClusterTruck,4.8,39.7775861,-86.1556021,729 N Pennsylvania St,https://maps.google.com/?cid=3756844133022583304,,,,,True,False,5
The Night Owl Food Truck,5.0,39.76168620000001,-86.15793029999999,"South and, S Meridian St",https://maps.google.com/?cid=17696017030503186994,,True,,,True,True,5
ROSE’S foodtruck Honduras,0.0,39.7604686,-86.22475039999999,3759 W Washington St,https://maps.google.com/?cid=6470019421332515241,,True,True,,True,True,0
3 Marias Mex Food Truck,0.0,39.768243,-86.1100464,3205 E Washington St,https://maps.google.com/?cid=6100113963352062368,,True,True,,True,True,0
Tha Corn Man,3.8,39.8024795,-86.1499178,2442 Central Ave,https://maps.google.com/?cid=18280728596783100006,False,True,True,,True,False,5
Fiesta on The Go,4.0,39.8251041,-86.1177611,2719 E 38th St,https://maps.google.com/?cid=11107978367519840184,False,True,True,False,True,True,5
FELIX TACOS TRUCK,4.5,39.764207,-86.211581,3145 W Washington St,https://maps.google.com/?cid=15116586037037737985,False,True,,False,True,True,5
Tacos El Iturbidense,4.7,39.779803,-86.27393300000001,"<span class=""extended-address"">Circle K Parking Lot",https://maps.google.com/?cid=1763883443405758500,,True,True,,True,True,5
TACOPOLIS (LA CAPITAL DEL TACO),4.4,39.8237417,-86.2422862,4857 W 38th St,https://maps.google.com/?cid=14561861102758981897,False,True,True,False,True,,5
El Rinconcito Salvadoreño food truck,4.9,39.8113723,-86.22295629999999,3098 Lafayette Rd,https://maps.google.com/?cid=7623375136632283249,False,True,True,False,True,True,5
